file_name,duration,file_size,processing_time1,processing_time2,processing_time3,processing_time4,processing_time5
OAF_doll_happy.wav,1.966031746031746,96052.0,0.0010004043579101562,0.0009992122650146484,0.0010710557301839192,0.0011619329452514648,0.001256418228149414
OAF_fall_happy.wav,1.9789115646258504,96682.0,0.000881195068359375,0.0008748769760131836,0.0009355545043945312,0.00099259614944458,0.001096820831298828
OAF_bean_angry.wav,1.3951927437641722,68180.0,0.00067901611328125,0.0006783008575439453,0.000721136728922526,0.0007243752479553223,0.0008225917816162109
OAF_name_fear.wav,1.5325623582766439,74886.0,0.0007476806640625,0.0007866621017456055,0.000797271728515625,0.0008170604705810547,0.0008699893951416016
OAF_dime_disgust.wav,2.474285714285714,120870.0,0.0011153221130371094,0.0010271072387695312,0.001171429951985677,0.0011091828346252441,0.0013347625732421874
OAF_shall_fear.wav,1.8830385487528345,92000.0,0.0008387565612792969,0.0008296966552734375,0.0009276072184244791,0.0008739233016967773,0.0011092662811279298
118_1b1_Pl_sc_Litt3200.wav,12.464036281179139,99756.0,0.001987457275390625,0.0022307634353637695,0.0024597644805908203,0.0025427937507629395,0.002937459945678711
107_2b3_Ar_mc_AKGC417L.wav,20.0,2646044.0,0.006198406219482422,0.007095932960510254,0.007470289866129558,0.008241772651672363,0.008994436264038086
OAF_gun_angry.wav,1.5410430839002267,75302.0,0.0007767677307128906,0.0008273124694824219,0.0008474191029866537,0.0009639263153076172,0.0009046554565429688
OAF_soup_disgust.wav,2.3699773242630386,115776.0,0.0010552406311035156,0.0010732412338256836,0.0011645952860514324,0.0011690855026245117,0.0012119293212890625
OAF_fail_happy.wav,1.9751927437641723,96500.0,0.0008766651153564453,0.0008965730667114258,0.0009341239929199219,0.0010027885437011719,0.0009528636932373047
OAF_bath_happy.wav,2.0351020408163265,99424.0,0.0009472370147705078,0.0009545087814331055,0.0009853045145670574,0.0010895729064941406,0.0011124610900878906
OAF_chair_angry.wav,1.613514739229025,78840.0,0.0007567405700683594,0.0007969141006469727,0.0008051395416259766,0.0008901357650756836,0.0009115695953369141
OAF_thumb_disgust.wav,2.1861678004535148,106800.0,0.0009748935699462891,0.0009627342224121094,0.001071612040201823,0.0011217594146728516,0.0012609481811523438
OAF_rose_disgust.wav,2.6661678004535148,130238.0,0.0011374950408935547,0.0011272430419921875,0.0011617342631022136,0.001262068748474121,0.001423215866088867
112_1p1_Ll_sc_Litt3200.wav,29.36,234924.0,0.0036771297454833984,0.004348039627075195,0.004541794459025065,0.0051697492599487305,0.005992746353149414
