Combination,Execution Time (seconds),RAM Memory Usage (MB),GPU Memory Usage (MB),Number of Cores Used
pspd,113.6470108,1681.578125,6.53515625,22
pssp,50.73902464,1356.355469,9.794921875,14
pssp,186.6486635,1681.605469,9.794921875,14
psss,69.90539598,1368.132813,12.57617188,17
psss,267.5009975,2716.757813,12.57617188,31
pssd,46.9688406,1360.230469,9.31640625,17
pssd,50.39578557,1360.191406,9.31640625,10
pssd,184.9029334,1927.140625,9.31640625,11
psdp,30.46537709,1333.960938,6.53515625,9
psdp,31.86765671,1373.347656,6.53515625,19
psdp,114.5152118,1681.488281,6.53515625,17
psds,49.00459909,1350.949219,9.31640625,5
psds,52.89772511,1357.949219,9.31640625,15
psds,185.7888513,1667.597656,9.31640625,15
psdd,29.83207893,1335.660156,6.056640625,14
psdd,30.91006255,1368.332031,6.056640625,17
psdd,113.6834674,1990.1875,6.056640625,14
pdpp,21.25900364,1333.339844,3.75390625,13
pdpp,21.74400139,1356.042969,3.75390625,5
pdps,31.52881503,1335.355469,6.53515625,16
pdps,32.84651828,1356.636719,6.53515625,22
pdps,113.6766832,1681.480469,6.53515625,13
pdpd,20.69712234,1346.59375,3.275390625,11
pdpd,21.19247007,1353.476563,3.275390625,11
pdsp,31.49193096,1346.988281,6.53515625,17
pdsp,32.84559846,1355.605469,6.53515625,22
pdsp,113.2447691,1681.363281,6.53515625,20
pdss,49.60406852,1335.746094,9.31640625,7
pdss,53.23096585,1371.992188,9.31640625,14
pdss,185.2495413,1761.902344,9.31640625,22
pdsd,30.13815045,1338.039063,6.056640625,24
pdsd,30.84230399,1354.6875,6.056640625,10
pdsd,113.4343054,1682.796875,6.056640625,18
pddp,20.90332747,1336.433594,3.275390625,7
pddp,21.08020258,1379.351563,3.275390625,8
pdds,31.11230183,1332.910156,6.056640625,12
pdds,32.07043791,1354.414063,6.056640625,18
pdds,112.8646572,1758.007813,6.056640625,8
pddd,20.34330654,1338.878906,2.796875,10
pddd,20.59751129,1371.136719,2.796875,10
sppp,33.59324288,1353.492188,7.013671875,23
sppp,114.6480961,1681.820313,7.013671875,21
spps,53.99107289,1374.464844,9.794921875,17
spps,186.1756797,1681.824219,9.794921875,21
sppd,32.85967612,1332.773438,6.53515625,9
sppd,33.99273062,1376.535156,6.53515625,27
sppd,113.5406203,1681.648438,6.53515625,19
spsp,51.79511809,1369.585938,9.794921875,23
spsp,186.0981886,1681.839844,9.794921875,13
spss,70.18194079,1358.261719,12.57617188,10
spss,266.9455242,1680.691406,12.57617188,13
spsd,39.71079707,1337.761719,9.31640625,21
spsd,43.14067101,1354.703125,9.31640625,7
spsd,187.0936491,1670.171875,9.31640625,21
spdp,33.06289411,1334.207031,6.53515625,21
spdp,34.09056234,1356.140625,6.53515625,9
spdp,113.3207624,1670.875,6.53515625,14
spds,41.88436079,1363.121094,9.31640625,19
spds,44.10374999,1352.855469,9.31640625,11
spds,189.7985768,2130.945313,9.31640625,11
spdd,30.62875199,1333.445313,6.056640625,16
spdd,31.63084197,1372.511719,6.056640625,20
spdd,113.5887687,1680.265625,6.056640625,5
sspp,18.21088719,1378.511719,5.173828125,32
sspp,192.6940029,1682.792969,7.981445313,8
ssps,69.37771845,1370.632813,12.57617188,19
ssps,267.6068161,2780.03125,12.57617188,11
sspd,49.09350801,1336.773438,9.31640625,8
sspd,52.38917875,1359.027344,9.31640625,7
sspd,185.6628947,2734.671875,9.31640625,19
